#Hurst #L  #lamdbaR #lambdaS #surfaceEnergy  #rho  #pulloff
0.8   512   128   2     0.0173428  0.01586214  3.40359e-07
0.8   512   128   2     0.043357   0.0292183   1.81636e-06
0.8   512   128   2     0.0693712  0.0399701   3.75757e-06
0.8   512   128   2     0.086714   0.0582647   8.74492e-06
0.8   512   128   2     0.130071   0.0763485   1.59918e-05
0.8   512   128   2     0.1647566  0.0893803   2.33641e-05
0.8   512   128   2     0.2254564  0.1101672   3.69621e-05
0.8   512   128   2     0.2774848  0.1265239   4.74185e-05
0.8   256	64	64	0.634794	0.470579  0.00136933
0.8   1536	32	16	0.948602	2.83547   0.0479794
0.8   1792	896	896	0.913323	4.7813    0.000183188
0.8   1024	256	128	0.697583	2.23606   6.62782e-05
0.8   256	32	16	0.732764	0.223073  0.00631189  # to be reproduced
0.8   1024	128	128	0.714786	1.6978    5.50076e-05 
0.8   1536	128	32	0.789926	3.75948   0.0018046
0.8   1536	1536	1536	0.183727	3.48542   0.000112678
0.8   768	768	8	0.809373	2.28775   0.000717836
0.8   1536	384	48	0.849136	3.77307   0.000129838
0.8   768	384	96	0.0454308	1.78975   7.85628e-06
0.8   1536	1536	128	0.350173	4.60482   2.19327e-05
0.8   512	32	8	0.339796	1.43632   0.0143405  # to be reproduced
0.8   1024	64	16	0.910981	0.326714  0.00203824
0.8   768	128	16	0.822711	2.86889   0.00433456
0.8   256	256	64	0.100149	2.26853   0.000169177
0.8   1792	1792	56	0.889895	3.0171    0.000110624
0.8   1280	640	64	0.410578	3.2644    3.55375e-05
0.8   512	512	32	0.23345   	1.83858   0.000217418
0.8   1792	1792	224	0.0745898	1.9225    8.85681e-06
0.8   1536	1536	4	0.0336215	2.06551   1.32721e-06
0.8   1792	128	4	0.946717	3.64306   0.0228365
0.8   1792	224	8	0.617162	0.277795  3.56984e-06
0.8   1792	224	112	0.817743	4.11951   0.000221852
0.8   1792	1792	56	0.122087	0.0551509 9.41553e-05
0.8   1280	256	32	0.772939	2.52081   0.000217136
0.8   1280	1280	80	0.352011	3.10399   0.000112553
0.8   256	256	32	0.784203	2.77408   0.000800737
0.8   1536	192	24	0.423028	4.83844   0.000539018
0.8   512	128	64	0.581059	3.00705   0.000125794
0.8   2048	64	8	0.216106	1.31761   0.000994138
0.8   768	32	4	0.679398	2.70371   0.0623612  # to be reproduced 
0.8   1280	256	256	0.690417	0.856372  6.56813e-05
0.8   1536	512	64	0.609222	0.382549  1.87103e-05
0.8   1536	256	8	0.237456	4.15572   0.000120623
0.8   256	32	16	0.837176	2.95441   0.0402721
0.8   1024	1024	4	0.474624	0.445041  2.66043e-05
0.8   2048	2048	2048	0.0178217	3.27619   8.65326e-06
0.8   1792	224	56	0.683228	3.76984   0.000216297
0.8   768	256	16	0.126333	4.7452    0.00017893
0.8   512	256	256	0.94869	        4.01414   0.000692223
0.8   1536	768	192	0.101833	1.18619   7.55777e-06
0.8   768	256	64	0.229518	3.15376   0.000175492
0.8   1280	1280	80	0.113295	3.53708   3.601e-05
0.8   1536	192	16	0.203565	2.84048   8.09055e-06
0.8   1024	512	128	0.182102	4.37745   3.31945e-05
0.8   1280	160	4	0.21462	4.5533            0.00256004
