normRMSH;normCurv;gammaNorm;muT;normPullOff
0.226675;5.08463;0.0228914;1.09321;0.000154666
0.0726128;48.8909;0.0307139;0.368404;0.00018919
0.0890797;26.2222;0.0433394;0.420718;0.00135594
0.225146;5.12845;1.27567;0.372792;0.0600162
0.148825;8.50161;0.0200992;0.305027;0.000163097
0.149002;8.55807;0.0416717;0.319115;5.39E-05
0.0602461;93.1343;0.210092;0.243175;0.000239116
0.0980339;20.4413;0.122454;0.371119;0.000947405
0.149002;8.55806;0.174227;0.240323;0.00845579
0.0531116;135.626;0.0633247;0.625105;0.000218869
0.225373;5.12003;0.0242534;1.08369;2.42E-05
0.12583;11.5725;0.015286;0.351593;8.40E-05
0.149003;8.55805;0.512586;0.480811;0.0760219
0.159155;6.28319;0.00698366;0.381732;0.0103029
0.11252;14.543;0.0938008;1.31467;0.000357417
0.12583;11.5725;0.181122;0.287195;0.000140744
0.225959;5.10704;0.261994;0.267055;0.0799085
0.0728051;48.9078;0.213691;0.234772;0.00757784
0.0728847;48.9243;0.522463;1.17571;0.0127479
0.148996;8.56211;0.0852228;0.353368;0.00583624
0.11252;14.543;0.0561072;0.200254;0.00594824
0.0727746;48.895;0.193534;0.244144;0.00143817
0.0728699;48.9235;0.584415;0.222587;0.0927788
0.225079;5.09501;0.0838726;0.260443;0.0032968
0.208383;5.4414;0.0820166;67.9237;2.13E-09
0.146249;8.47241;0.0262263;0.22485;0.000836338
0.0934685;20.0097;0.0390993;0.276165;0.00264782
0.134979;8.47956;0.00186824;0.218552;0.00272376
0.112843;14.6006;0.519409;0.686709;0.0649183
0.0603441;93.1873;0.295568;0.886085;0.00111416
0.0894094;26.2566;1.28977;0.503545;0.171207
0.0605209;93.2237;0.669677;0.202182;0.150802
0.0894047;26.2516;0.208552;0.292019;0.094001
0.149003;8.55805;0.026536;1.03726;0.000107585
0.0763861;36.6445;0.0432385;0.425962;0.000127207
0.0893973;26.2494;0.0958057;1.98899;2.86E-05
0.0427713;351.625;0.0477555;0.315761;0.000465469
0.0893441;26.2423;0.0268693;0.300326;0.000188123
0.0385135;519.821;0.0310443;0.24871;0.000510866
0.0980339;20.4413;0.173526;0.585528;0.000446286
0.0662229;59.382;0.00147045;0.318141;0.000665232
0.148825;8.50157;0.254783;0.247377;0.0401236
0.0858638;25.5193;0.021971;0.758501;0.000113721
0.0893443;26.2424;0.114031;0.33052;0.0005041
0.0728827;48.9245;0.241432;0.596203;0.0285587
0.0728051;48.9078;0.28506;0.501477;0.00148422
0.0728313;48.9065;0.234172;0.246425;0.0510765
0.0406514;436.797;0.120206;0.382601;0.000467597
0.22508;5.09501;0.185511;2.12504;0.0010151
0.149005;8.56189;0.867505;0.352675;0.143415
0.208383;5.4414;0.0203129;0.209148;0.000959
0.148825;8.50158;0.0793891;0.447215;0.000212451
0.149074;8.53648;0.66874;4.48284;0.00192151
0.226675;5.08463;0.104294;0.588998;0.000130657
0.112859;14.581;0.255655;0.265994;0.0085886
0.159155;6.28319;0.00300622;0.286909;0.00213757
0.0450703;264.666;0.178832;0.437111;0.00202901
0.0890797;26.2222;0.127511;0.265036;0.000576925
0.111252;14.4379;0.00488412;0.558737;0.000309499
0.0763861;36.6445;0.0154219;0.217164;0.000288418
0.112831;14.5954;0.440168;0.696224;0.0606174
0.112831;14.5954;0.59004;3.06078;0.000730994
0.0893;26.2153;0.370573;0.348567;0.0151151
0.10696;14.0668;0.0160762;0.440814;0.00383212
0.0586953;92.2443;0.0522401;0.331444;0.00037506
0.0822391;31.9209;0.0410107;0.306335;0.00028255
0.0703854;48.0655;0.0352196;0.543898;0.00171232
0.0858638;25.5193;0.00234725;0.520156;0.000228278
0.0330742;1025.61;0.00669466;0.484142;8.15E-05
0.0605535;93.2288;0.804024;0.274495;0.0878771
0.0626451;82.219;0.282075;3.59978;1.61E-06
0.149075;8.53648;0.106614;0.242747;0.00111761
0.0586953;92.2443;0.00716695;18.1321;4.25E-05
0.0892555;26.2408;0.17403;0.396698;0.000708152
0.0703852;48.0655;0.0212425;0.322166;0.000992479
0.0858641;25.5193;0.172746;0.36048;0.00283257
0.0893443;26.2424;0.127095;0.206678;0.00616509
0.148825;8.50159;0.132256;0.332552;0.000650999
0.0894073;26.2566;0.194865;0.75895;0.00606131
0.0894047;26.255;1.2252;0.369862;0.248171
0.219446;5.24803;0.0519092;1.16772;8.15E-05
0.0889826;26.1263;0.0684175;2.61404;1.17E-05
0.0604715;93.217;0.10081;0.240632;0.00211102
0.149074;8.53648;0.764029;0.338477;0.142121
0.0361365;688.873;0.1195;2.24698;2.49E-05
0.159155;6.28318;0.000218705;0.305233;0.00159074
0.112774;14.5858;0.126377;0.265263;0.00119346
0.072502;48.8146;0.0391336;0.210739;0.0067208
0.208383;5.44141;0.073848;0.249119;0.00292897
0.111252;14.4379;0.00547387;0.843035;8.80E-05
0.11255;14.4314;0.0369151;0.317082;0.0024114
0.0703852;48.0655;0.0068369;0.282719;0.00112424
0.0790625;37.6395;0.0738444;0.352053;0.000112893
