#true_vals	#preds
0.00210836	0.006121192735894841
0.001330456	0.004695547049959871
0.0302612917	0.12912664874287796
7.5639e-06	0.000269566981019053
0.0376089	0.09205646276465147
0.000935866	0.0016207874500333789
0.0300847	0.06240070033185248
0.000390749	0.0016589375670997444
0.010346	0.006519716927435152
6.00353e-05	0.0005327596044846371
8.35658e-05	0.00036171371205047023
8.40183e-05	0.0002865382562859633
5.70246e-05	0.00027951709392502657
0.000172578	0.0014742028006001935
0.000110745	0.0036762786916582574
0.0164216	0.011060691518948217
0.0114347	0.03035968603650541
