#true_vals	#preds
0.00210836	0.00896987730199998
0.001330456	0.006654109197999983
0.0302612917	0.12893516875200028
7.5639e-06	0.00016296621600000026
0.0376089	0.08445785042199994
0.000935866	0.004799113076000001
0.0300847	0.07596757268399987
0.000390749	0.00222305852652381
0.010346	0.006349354726000026
6.00353e-05	0.0009421288459999975
8.35658e-05	0.000370038178000001
8.40183e-05	0.00043266721600000095
5.70246e-05	0.0001434523619999996
0.000172578	0.001909645361999995
0.000110745	0.012063851235333389
0.0164216	0.021120469547999926
0.0114347	0.03650536055200005
