#true_vals	#preds
0.00210836	0.026341920772466054
0.001330456	0.0002743132844369638
0.0302612917	0.03209962114509596
7.5639e-06	0.021705008901485322
0.0376089	0.038390923204437453
0.000935866	0.022223902451482275
0.0300847	0.04150442722861515
0.0003907	0.006686992900295322
0.010346	0.007771231785403901
6.00353e-05	0.0002304531573706703
8.35658e-05	0.0003931824826788878
8.40183e-05	0.0003713063573151223
5.70246e-05	0.0002432846665215543
0.000172578	0.0013983304824231977
0.000110745	0.00020877124959681212
0.0164216	0.015256762864671468
0.0114347	0.021150135749249635
