Size;lamdabR;lambdaS;gamma;rho;normPulloff
1024;512;256;0.74405;3.22274;0.00122989
1280;320;40;0.860976;2.3725;0.000432163
2048;2048;512;0.245515;1.63775;0.000295854
1792;896;32;0.362798;1.50516;2.39E-05
1792;224;8;0.117006;0.291218;3.05E-06
256;256;8;0.218104;3.58231;0.00616228
1536;1536;128;0.633625;3.54763;0.000209678
768;32;32;0.70344;3.07723;0.0605853
1024;512;64;0.511;3.3797;0.000558506
1536;1536;16;0.468639;2.31645;0.000370759
1536;64;64;0.214164;2.80365;0.000326166
768;768;24;0.425023;0.384213;9.64E-05
1024;512;128;0.57265;2.30923;0.000337587
768;128;16;0.880633;1.10188;0.00229455
768;384;8;0.826433;1.29538;0.00116678
2048;512;512;0.530253;1.35649;0.000308812
1536;512;512;0.660023;2.88248;0.000535249
1536;192;32;0.868235;0.762862;0.000165965
1024;128;32;0.724741;0.713138;0.000330109
2048;512;128;0.795045;2.60656;0.000627772
256;64;32;0.140794;2.74764;0.00216913
1280;1280;128;0.480069;1.47027;0.000361616
768;96;96;0.716534;2.12332;0.000228041
512;64;32;0.606034;2.83807;0.0187233
2048;2048;32;0.583478;0.599598;1.93E-05
768;384;32;0.0581992;0.772612;7.59E-05
1536;1536;32;0.532608;0.862146;6.14E-05
1792;448;64;0.960084;1.22172;3.86E-05
1024;128;64;0.0840778;0.758721;5.78E-05
1024;256;32;0.0105216;2.61205;0.000261634
2048;1024;128;0.581715;4.84263;0.000384637
2048;1024;128;0.581715;4.84263;0.000384637
1792;256;256;0.339194;4.75305;0.000929892
768;384;4;0.432814;2.35846;0.00157282
1280;32;16;0.644479;3.34078;0.15981
768;96;4;0.725329;1.71645;0.0497658
256;64;64;0.621068;0.740931;0.00169219
1536;256;8;0.213587;3.22659;0.000532118
1792;64;32;0.720054;1.92873;0.0119211
1792;896;56;0.668537;1.37338;3.81E-05
1024;64;64;0.980919;1.62828;0.00269319
256;64;4;0.259986;4.35308;0.219136
768;32;4;0.664071;4.52532;0.357983
2048;512;64;0.193548;1.57763;3.82E-05
1024;1024;4;0.354947;2.0615;0.000226339
2048;2048;8;0.479536;1.06839;1.76E-05
1536;1536;4;0.734556;0.817872;6.61E-05
1536;512;64;0.855741;4.69057;0.000300819
1536;256;256;0.455542;4.32613;0.000356814
256;64;4;0.0540985;2.94198;0.0892402
768;96;96;0.27419;3.64042;0.000434575
1024;32;32;0.74864;3.75227;0.09473
1536;256;256;0.767203;2.06936;0.000140698
1280;320;40;0.558945;2.81242;0.000385619
512;64;8;0.901847;3.35671;0.141136
768;768;192;0.273404;2.27806;0.0011779
768;192;192;0.789134;4.2651;0.00376115
2048;1024;4;0.317356;4.35673;0.000507709
1792;1792;8;0.757277;3.32584;0.00076281
512;512;32;0.952912;2.8803;0.00297496
1280;320;32;0.505938;4.65308;0.00106072
1280;640;160;0.0959909;2.13111;0.000202963
2048;256;32;0.500945;4.4866;0.000696598
768;32;16;0.0800913;2.33977;0.0360305
1792;448;112;0.268296;4.51628;0.00129251
256;64;32;0.872304;3.5447;0.0435814
2048;256;128;0.478016;3.98677;0.000661479
2048;64;4;0.449497;3.41228;0.166497
1280;640;320;0.532469;1.1244;0.000306414
1792;224;32;0.360771;3.64302;0.000245427
768;768;32;0.333644;2.22465;0.000210386
1280;1280;16;0.432041;1.49526;4.76E-05
1536;64;4;0.606325;0.950762;0.0263085
768;128;16;0.182201;1.74367;0.00100309
1536;384;32;0.0407898;1.64266;6.02E-05
1024;512;4;0.951069;3.07256;0.00139666
2048;256;128;0.176636;0.580761;1.92E-05
1280;160;40;0.852455;1.80248;0.000888241
1792;448;28;0.967149;3.56455;0.000229545
1536;96;96;0.432351;2.45448;0.000637817
1024;32;32;0.0151246;3.6053;0.0194198
1792;256;64;0.939607;3.27721;0.000467264
512;32;8;0.140444;2.55174;0.13041
1536;192;192;0.736328;2.37459;0.000124064
2048;1024;128;0.964197;2.46527;0.000173556
768;32;8;0.0212281;4.47572;0.259735
1024;1024;8;0.301068;1.44284;0.00027362
768;96;24;0.394637;1.65155;0.00166863
1024;256;256;0.260894;1.85498;0.00105466
1280;32;4;0.114592;0.342292;0.000389281
1024;256;128;0.400701;2.71431;0.000272437
1792;64;4;0.580801;0.381547;0.00322001
1280;640;8;0.428013;3.70347;0.000816111
768;256;256;0.404039;4.53269;0.00188688
256;128;4;0.0149361;2.21976;0.005484
768;768;128;0.67482;2.13004;0.00140686
1792;224;112;0.355326;1.96176;0.000200089
1792;1792;448;0.674389;2.15479;0.000428374
512;128;64;0.0579546;3.82054;0.000972667
768;192;24;0.974257;2.3574;0.00109465
256;32;8;0.832087;2.14562;0.155153
768;768;16;0.58958;4.59021;0.00313904
1280;640;16;0.0679497;0.946671;2.44E-05
1536;1536;128;0.971918;4.72828;0.000286097
1536;384;48;0.287235;2.1197;7.69E-05
1536;1536;32;0.194987;3.89157;0.000608544
1280;32;32;0.792489;3.13389;0.0704635
768;768;96;0.727092;4.59056;0.00135581
2048;512;8;0.483503;1.77412;4.74E-05
2048;128;8;0.357011;2.82643;0.0193213
768;192;4;0.0177074;3.95707;0.010177
768;192;4;0.0177074;3.95707;0.010177
